 X, Y, W, T
0.46,-0.16,0.21,21.95
0.42,-0.05,0.16,21.95
0.69,-0.09,0.09,21.72
0.73,-0.11,0.08,21.67
0.88,0.11,0.09,21.56
0.96,0.14,0.17,21.63
0.94,0.14,0.12,21.68
0.88,0.14,0.1,21.7
0.65,0.03,0.08,21.86
0.81,0.14,0.08,21.7
0.77,0.09,0.08,21.71
0.8,0.09,0.13,21.7
0.7,0.15,0.2,21.7
0.39,0.03,0.2,21.78
0.78,-0.06,0.1,21.67
0.79,0.22,0.18,21.76
0.76,0.07,0.12,21.75
0.7,0.03,0.13,21.72
0.68,0.14,0.24,21.79
0.93,0.16,0.16,21.61
0.71,0.23,0.17,21.62
0.73,-0.05,0.15,21.63
0.69,-0.02,0.09,21.63
0.82,0.06,0.16,21.7
0.89,0.13,0.11,21.7
0.76,0.09,0.09,21.7
0.91,0.27,0.17,21.63
0.72,0.14,0.2,21.76
0.84,0.17,0.2,21.65
0.73,0.14,0.15,21.67
0.9,0.16,0.15,21.63
0.74,0.05,0.19,21.7
0.71,0.2,0.14,21.67
0.79,0.14,0.18,21.7
0.65,0.09,0.23,21.74
0.25,-0.07,0.11,21.99
0.28,-0.09,0.07,22
0.1,-0.04,0,22.07
0.21,-0.11,0.08,21.98
0.27,-0.02,0.2,22.01
0.41,0.01,0.22,21.93
0.25,-0.05,0.12,22
0.2,-0.02,0.15,21.99
0.28,-0.12,0.04,21.98
0.56,0.01,0.18,21.83
0.32,-0.14,0.04,21.94
0.29,0.04,0.06,21.93
0.38,0.02,0.17,21.97
0.55,-0.11,0.18,21.83
0.6,0.12,0.08,21.85
0.78,0.04,0.08,21.8
0.81,0.12,0.14,21.77
0.62,0.05,0.15,21.83
0.43,0.02,0.26,21.94
0.76,0.06,0.17,21.83
0.72,0.05,0.15,21.63
0.78,0.07,0.2,21.7
0.92,0.12,0.18,21.66
0.62,0.05,0.13,21.82
0.63,0.13,0.21,21.85
0.82,0.11,0.09,21.75
0.69,0.1,0.2,21.81
0.87,0.05,0.05,21.69
0.84,0.15,0.01,21.77
0.79,0.23,0.14,21.82
0.6,0.09,0.15,21.83
0.33,0,0.07,21.95
0.14,-0.09,0.08,22.06
0.52,-0.03,0.06,21.87
0.79,0.17,0.13,21.75
0.75,0.11,0.01,21.81
0.69,0.01,0.05,21.81
0.61,0.21,0.13,21.82
0.99,0.23,0.21,21.65
0.92,0.18,0.16,21.74
0.89,0.2,0.15,21.73
0.8,0.15,0.11,21.7
0.78,0.18,0.18,21.77
0.65,0.26,0.17,21.81
0.54,0.05,0.12,21.82
0.37,0.12,0.15,21.91
0.39,0.02,0.17,21.98
0.52,0.07,0.27,21.88
0.43,-0.07,0.2,21.91
0.42,0.01,0.16,21.97
0.35,-0.1,0.05,22.02
0.36,-0.1,0.11,21.97
0.51,-0.17,0.24,21.88
0.6,0.05,0.16,21.86
0.55,-0.03,0.06,22
0.77,-0.02,0.11,21.83
0.46,-0.13,0.03,21.89
0.73,0,0.04,21.84
0.88,0.05,0.03,21.76
0.91,0.15,0.11,21.68
0.96,0.23,0.08,21.62
0.83,0.18,0.25,21.74
0.79,0.1,0.13,21.74
0.66,0.14,0.09,21.78
0.29,-0.06,0.18,22.05
0.48,-0.02,0.22,21.89
0.37,-0.07,0.04,21.91
0.3,-0.12,0.1,21.96
0.42,0.06,0.13,21.91
0.49,-0.06,0.03,21.95
0.56,-0.1,0.02,21.92
0.78,-0.07,0.04,21.78
0.62,0.04,0.03,21.9
0.41,0.04,0.27,21.97
0.57,0.01,0.27,21.88
